iter	Passed	Remaining
0	0	73
1	1	73
2	2	71
3	2	70
4	3	71
5	4	71
6	5	70
7	6	71
8	7	71
9	7	70
10	8	70
11	9	68
12	10	67
13	10	67
14	11	66
15	12	65
16	13	63
17	13	62
18	14	61
19	15	60
20	15	58
21	16	57
22	17	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	64	0
99	64	0
